,City,D
0,Taipei,0.25754259478579267
1,NewTaipei,0.03069327783598945
2,Keelung,0.09038942021966134
3,Taoyuan,0.028666108633085278
4,Hsinchu County,0.0070050728636156445
5,Hsinchu City,0.11521555870904807
6,Miaoli,0.010437754478634438
7,Taichung,0.023477391813469594
8,Changhua,0.022338132308757665
9,Nantou,0.003652802576248601
10,Yunlin ,0.017043263394494374
11,Chiayi County,0.004202482543018844
12,Chiayi City,0.21657426164836338
13,Tainan,0.020988723078483543
14,Kaohsiung,0.017954827280659426
15,Pingtung,0.006845366027666159
16,Yilan,0.005597993790985186
17,Hualien,0.0028086419926459383
18,Taitung,0.002844745780146781
19,Penghu,0.01576490118165817
20,Kinmen,0.01318774067626734
21,Lienchiang,0.034722222222222224
