時間戳記,你是個...?,是否有 3D 暈 (例如: 3D電影看太久會感到不舒服、長時間玩生存遊戲時會感到暈眩......),是否有使用VR眼鏡體驗專案?,遊玩時間,對於此體驗的滿意度,任何建議，哪裡覺得不滿意,體驗的流暢度,對於流暢度的建議,對於知識的取得是否有幫助?,對於知識取得的建議,想對我們說的話
2022/4/4 下午 2:29:48,國高中學生,否,,10 - 15 分鐘,2,介紹的小字太小太糊了(VR模式),2,VR模式的時候，反應不靈敏還有有點卡卡的,2,可以有較生活化或實用化的知識(對我而言有點easy),臭姐姐，為什麼要一個國三生幫你玩(因為你玩的會暈)然後浪費我的頭腦容量。
2022/5/16 上午 1:20:49,大學生以上(含以上),否,否,5 - 10 分鐘,5,,4,,4,會出成題目的地方可以在介紹的時候給點小提示！然後小寶貝的照片多一點會玩的更開心😍😍,我愛妳乃云寶貝 小寶貝最棒了😘
2022/5/17 上午 11:23:23,國小低年級學生(1、2年級含以下),是,是,20 分鐘以上,5,超棒的囉！,5,我很開心囉！,5,讚喔囉！,你們很棒喔？
2022/5/17 上午 11:32:37,大學生以上(含以上),是,是,10 - 15 分鐘,4,頭有點暈,5,還不錯,4,可以有趣的獲得知識,甘八爹呦
2022/5/17 下午 5:52:37,大學生以上(含以上),否,否,5 - 10 分鐘,5,,5,,5,,
2022/5/23 下午 4:51:01,大學生以上(含以上),否,否,10 - 15 分鐘,5,,5,,5,,"在對稱區那邊的標題不要全部擠在一起啦XD
採集標本裝置那邊覺得應該也可以放圖片介紹
打卡牆那邊的圖可以再放大點不然字好小qq 
整體來說很棒！"
2022/5/23 下午 10:18:34,大學生以上(含以上),否,否,10 - 15 分鐘,4,我覺得有一點難操控自己想去的地方，但其他都好棒！,4,感覺地點和地點可以切換的再快一點,4,我覺得可以點選下一個知識的時候上一個可以自動關掉，不然還要再點叉叉有點麻煩,我覺得你們非常用心，而且可以讓我們在家就能學習植物的知識，並透過VR體驗感受當地的氛圍並且觀察，非常有趣，立意也很好！你們很棒！繼續加油！
2022/5/23 下午 10:41:43,大學生以上(含以上),否,否,5 - 10 分鐘,4,種實標本可以近一點拍，不然那麼遠其實不知道細節,4,,4,都是些蠻基本的知識，不是這方面的專家也能輕鬆了解,
2022/5/23 下午 10:50:28,大學生以上(含以上),否,是,10 - 15 分鐘,5,讚,5,無,5,嗨,下一位
2022/5/23 下午 10:54:51,大學生以上(含以上),否,是,15 - 20 分鐘,4,,3,,5,,
2022/5/23 下午 11:04:00,大學生以上(含以上),否,否,5 - 10 分鐘,3,頗酷的，但畫面有點卡,2,同上提畫面卡,4,不錯的體驗,加油
2022/5/24 上午 12:24:50,大學生以上(含以上),否,否,5 分鐘以下,4,,4,,4,,
2022/5/24 上午 5:10:07,,是,是,10 - 15 分鐘,4,不知道是手機尺寸問題還是畫質問題 總覺得字一直很難看清楚 有點吃力,5,除了字有點難看清楚外 其他部分都很棒！！,5,問答部分可以去探索找答案 這種方式我覺得很棒！！,很用心的體驗遊戲 很新奇的體驗 謝謝你們帶來這麼棒的作品
2022/5/25 下午 12:42:51,大學生以上(含以上),否,是,5 - 10 分鐘,4,,3,應該是程式的問題，切換視角不大便利,5,,很棒！
2022/5/25 下午 9:27:11,大學生以上(含以上),否,是,10 - 15 分鐘,4,在文字的部分偏小，如果可以做跨頁可以更好,4,第一次玩容易找不到下一個場景，後面場景轉換可以寫建議探索…,4,可能不想打擊探索者，所以答錯還可以繼續答,"做的超級棒，下次可以參加黑客松ㄛ~
用VR,meta應該都可以吸引評審目光"
2022/5/25 下午 10:04:23,國高中學生,否,是,5 分鐘以下,3,標題底下說明的字體太小。,3,題目消失了。,2,太簡單。,"被姊姊抓來測試的somebody
3:D"
